#TYPE System.Security.AccessControl.FileSystemAccessRule
".\Application Data","FileSystemRights","AccessControlType","IdentityReference","IsInherited","InheritanceFlags","PropagationFlags"
"I:\Usuarios\a.akhgar","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.akhgar","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.akhgar","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.akhgar","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.akhgar","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.barajas","Modify, Synchronize","Allow","DOMINIO\a.barajas","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.barajas","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.barajas","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.barajas","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.barajas","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.barajas","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bea","FullControl","Allow","NT AUTHORITY\SYSTEM","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bea","FullControl","Allow","BUILTIN\Administrators","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bea","ReadAndExecute, Synchronize","Allow","DOMINIO\Admins. del dominio","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bea","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bea","FullControl","Allow","DOMINIO\a.bea","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bea","FullControl","Allow","DOMINIO\v.avanade","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bohorquez","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bohorquez","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bohorquez","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bohorquez","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bohorquez","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bujaldon","FullControl","Allow","NT AUTHORITY\SYSTEM","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bujaldon","FullControl","Allow","BUILTIN\Administrators","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bujaldon","FullControl","Allow","DOMINIO\Admins. del dominio","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bujaldon","FullControl","Allow","DOMINIO\RICOH","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bujaldon","FullControl","Allow","DOMINIO\a.bujaldon","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bujaldon","FullControl","Allow","DOMINIO\u.kyocera","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.bujaldon","FullControl","Allow","DOMINIO\v.avanade","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.canals","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.canals","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.canals","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.canals","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.canals","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carbonell","FullControl","Allow","NT AUTHORITY\SYSTEM","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carbonell","FullControl","Allow","BUILTIN\Administrators","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carbonell","FullControl","Allow","DOMINIO\Admins. del dominio","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carbonell","FullControl","Allow","DOMINIO\Administradores de esquema","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carbonell","FullControl","Allow","DOMINIO\a.carbonell","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carbonell","FullControl","Allow","DOMINIO\v.avanade","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carnero","FullControl","Allow","DOMINIO\Administradores de esquema","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carnero","FullControl","Allow","DOMINIO\a.carnero","False","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carnero","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carnero","ReadAndExecute, Synchronize","Allow","DOMINIO\Administradores de esquema","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carnero","FullControl","Allow","NT AUTHORITY\SYSTEM","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carnero","FullControl","Allow","BUILTIN\Administrators","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.carnero","FullControl","Allow","DOMINIO\v.avanade","True","ContainerInherit, ObjectInherit","None"
"I:\Usuarios\a.cortesc","FullControl","Allow","DOMINIO\Admins. del dominio","True","ContainerInherit, ObjectInherit","None"
